x,humidity,temperature
0,64.0,23.0
1,64.0,23.0
2,64.0,23.0
3,63.0,23.0
4,63.0,23.0
5,63.0,23.0
6,63.0,23.0
7,63.0,23.0
8,63.0,23.0
9,64.0,24.0
10,64.0,24.0
11,64.0,24.0
12,64.0,24.0
13,64.0,24.0
14,63.0,23.0
15,64.0,24.0
16,64.0,24.0
17,63.0,24.0
18,63.0,24.0
19,62.0,25.0
20,62.0,25.0
21,61.0,26.0
22,60.0,27.0
23,59.0,28.0
24,56.0,29.0
25,54.0,30.0
26,51.0,31.0
27,49.0,32.0
28,51.0,34.0
29,41.0,35.0
30,39.0,37.0
31,38.0,37.0
32,38.0,37.0
33,37.0,37.0
34,37.0,37.0
35,36.0,37.0
36,35.0,37.0
37,35.0,38.0
38,35.0,37.0
39,34.0,37.0
40,34.0,37.0
41,33.0,37.0
42,33.0,37.0
43,33.0,37.0
44,33.0,37.0
45,33.0,37.0
46,33.0,37.0
47,32.0,37.0
48,32.0,37.0
49,31.0,37.0
50,31.0,37.0
51,31.0,37.0
52,31.0,37.0
53,30.0,37.0
54,30.0,37.0
55,30.0,37.0
56,30.0,37.0
57,29.0,37.0
58,29.0,37.0
59,29.0,37.0
60,29.0,37.0
61,29.0,37.0
62,29.0,37.0
63,29.0,37.0
64,29.0,36.0
65,29.0,36.0
66,30.0,35.0
67,28.0,35.0
68,28.0,35.0
69,29.0,35.0
70,30.0,35.0
71,29.0,35.0
72,29.0,35.0
73,29.0,35.0
74,30.0,35.0
75,30.0,35.0
76,30.0,35.0
77,30.0,35.0
78,30.0,35.0
79,32.0,34.0
80,32.0,34.0
81,32.0,34.0
82,32.0,34.0
83,32.0,34.0
84,32.0,34.0
85,33.0,34.0
86,33.0,34.0
87,33.0,34.0
88,33.0,34.0
89,34.0,34.0
90,33.0,34.0
91,34.0,34.0
92,34.0,34.0
93,34.0,34.0
94,35.0,34.0
95,35.0,34.0
96,35.0,34.0
97,35.0,34.0
98,35.0,34.0
99,35.0,34.0
100,35.0,34.0
101,35.0,33.0
102,35.0,33.0
103,36.0,33.0
104,36.0,33.0
105,36.0,33.0
106,36.0,33.0
107,36.0,33.0
108,36.0,33.0
109,36.0,33.0
110,36.0,33.0
111,36.0,33.0
112,37.0,33.0
113,37.0,33.0
114,38.0,32.0
115,38.0,32.0
116,38.0,32.0
117,38.0,32.0
118,38.0,32.0
119,38.0,32.0
120,38.0,32.0
121,39.0,32.0
122,39.0,32.0
123,39.0,32.0
124,39.0,32.0
125,39.0,32.0
126,39.0,32.0
127,39.0,32.0
128,39.0,32.0
129,39.0,32.0
130,39.0,32.0
131,39.0,32.0
132,39.0,31.0
133,40.0,31.0
134,40.0,31.0
135,40.0,31.0
136,40.0,31.0
137,40.0,31.0
138,40.0,31.0
139,40.0,31.0
140,40.0,31.0
141,40.0,31.0
142,40.0,31.0
143,40.0,31.0
144,40.0,31.0
145,40.0,31.0
146,40.0,31.0
147,40.0,31.0
148,40.0,31.0
149,41.0,30.0
150,42.0,30.0
151,42.0,30.0
152,42.0,30.0
153,42.0,30.0
154,42.0,30.0
155,42.0,30.0
156,42.0,30.0
157,42.0,30.0
158,42.0,30.0
159,42.0,30.0
160,42.0,30.0
161,42.0,30.0
162,42.0,30.0
163,43.0,30.0
164,43.0,30.0
165,43.0,30.0
166,43.0,30.0
167,43.0,30.0
168,43.0,30.0
169,43.0,30.0
170,43.0,30.0
171,43.0,30.0
172,43.0,30.0
173,44.0,30.0
174,44.0,30.0
175,44.0,30.0
176,44.0,30.0
177,44.0,30.0
178,44.0,30.0
179,44.0,30.0
180,44.0,30.0
181,44.0,30.0
182,44.0,30.0
183,44.0,30.0
184,44.0,30.0
185,44.0,30.0
186,44.0,30.0
187,44.0,29.0
188,44.0,29.0
189,44.0,29.0
190,45.0,29.0
191,45.0,29.0
192,45.0,29.0
193,45.0,29.0
194,45.0,29.0
195,45.0,29.0
196,45.0,29.0
197,45.0,29.0
198,45.0,29.0
199,45.0,29.0
200,45.0,29.0
201,45.0,29.0
202,45.0,29.0
203,45.0,29.0
204,45.0,29.0
205,45.0,29.0
206,45.0,29.0
207,45.0,29.0
208,45.0,29.0
209,45.0,29.0
210,45.0,29.0
211,46.0,29.0
212,46.0,29.0
213,46.0,29.0
214,46.0,29.0
215,46.0,29.0
216,47.0,28.0
217,47.0,28.0
218,47.0,28.0
219,47.0,28.0
220,47.0,28.0
221,47.0,28.0
222,47.0,28.0
223,47.0,28.0
224,47.0,28.0
225,47.0,28.0
226,47.0,28.0
227,47.0,28.0
228,47.0,28.0
229,47.0,28.0
230,47.0,28.0
231,47.0,28.0
232,47.0,28.0
233,47.0,28.0
234,47.0,28.0
235,47.0,28.0
236,48.0,28.0
237,48.0,28.0
238,48.0,28.0
239,48.0,28.0
240,48.0,28.0
241,48.0,28.0
242,47.0,28.0
243,47.0,28.0
244,48.0,28.0
245,48.0,28.0
246,48.0,28.0
247,48.0,28.0
248,48.0,28.0
249,49.0,28.0
250,49.0,28.0
251,49.0,28.0
252,49.0,28.0
253,49.0,28.0
254,49.0,28.0
255,50.0,28.0
256,50.0,28.0
257,50.0,28.0
258,50.0,28.0
259,50.0,28.0
260,50.0,28.0
261,50.0,28.0
262,50.0,28.0
263,51.0,28.0
264,51.0,28.0
265,51.0,28.0
266,49.0,28.0
267,49.0,28.0
268,51.0,28.0
269,51.0,28.0
270,51.0,28.0
271,52.0,28.0
272,53.0,28.0
273,53.0,28.0
274,53.0,28.0
275,52.0,28.0
276,52.0,28.0
277,52.0,28.0
278,53.0,28.0
279,53.0,28.0
280,53.0,28.0
281,53.0,28.0
282,53.0,27.0
283,53.0,27.0
284,53.0,27.0
285,53.0,27.0
286,53.0,27.0
287,53.0,27.0
288,53.0,27.0
289,53.0,27.0
290,53.0,27.0
291,53.0,27.0
292,53.0,27.0
293,53.0,27.0
294,53.0,27.0
295,53.0,27.0
296,53.0,27.0
297,53.0,27.0
298,52.0,27.0
299,53.0,27.0
300,54.0,27.0
301,54.0,27.0
302,54.0,27.0
303,54.0,27.0
304,54.0,27.0
305,54.0,27.0
306,54.0,27.0
307,54.0,27.0
308,54.0,27.0
309,54.0,27.0
310,54.0,27.0
311,54.0,27.0
312,54.0,27.0
313,54.0,27.0
314,54.0,27.0
315,54.0,27.0
316,54.0,27.0
317,55.0,27.0
318,55.0,27.0
319,55.0,27.0
320,56.0,27.0
321,55.0,27.0
322,55.0,27.0
323,55.0,27.0
324,55.0,27.0
325,55.0,27.0
326,55.0,27.0
327,55.0,27.0
328,55.0,27.0
329,55.0,27.0
330,55.0,27.0
331,55.0,27.0
332,55.0,27.0
333,55.0,27.0
334,55.0,27.0
335,55.0,27.0
336,55.0,27.0
337,55.0,27.0
338,55.0,27.0
339,55.0,27.0
340,55.0,27.0
341,55.0,27.0
342,55.0,25.0
343,56.0,27.0
344,56.0,27.0
345,56.0,27.0
346,56.0,27.0
347,56.0,27.0
348,56.0,27.0
349,56.0,27.0
350,56.0,27.0
351,56.0,27.0
352,55.0,25.0
353,56.0,27.0
354,55.0,25.0
355,55.0,25.0
356,56.0,27.0
357,56.0,27.0
358,56.0,27.0
359,56.0,27.0
360,56.0,27.0
361,56.0,27.0
362,56.0,25.0
363,56.0,25.0
364,56.0,27.0
365,56.0,27.0
366,56.0,27.0
367,57.0,27.0
368,56.0,25.0
369,57.0,27.0
370,57.0,27.0
371,56.0,25.0
372,57.0,27.0
373,57.0,27.0
374,56.0,25.0
375,56.0,25.0
376,57.0,27.0
377,56.0,25.0
378,56.0,25.0
379,57.0,27.0
380,57.0,27.0
381,57.0,27.0
